plasmid_id	ptu	taxon_oid	scaffold_oid	source_type	ecosystem	length	gene_count	genomad_score	putatively_complete	topology	mob_genes	t4cp_genes	t4ss_atpase_genes	other_conjugation_genes	complete_mpf_family	origin_of_transfer	arg_genes	putative_phage_plasmid	host_prediction_method	host_taxonomy	closest_reference	closest_reference_ani_percent	closest_reference_af_percent
IMGPR_plasmid_3300008617_000009	PTU_00000825	3300008617	Ga0115612_100178	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	28174	39	0.9877	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	NZ_CP017041.1	92.22	88.19
IMGPR_plasmid_3300009577_000027	PTU_00000280	3300009577	Ga0105230_100926	Metagenome	Environmental;Aquatic;Marine;Oceanic	4448	6	0.9876	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	NC_021086.1	96.8	100.0
IMGPR_plasmid_7000000613_000001	PTU_00000280	7000000613	SRS023847_Baylor_scaffold_81	Metagenome	Host-associated;Mammals: Human;Respiratory system;Nasal cavity;Anterior nares	8734	11	0.9871	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	NC_021086.1	92.45	100.0
IMGPR_plasmid_2537561580_000001	PTU_00000280	2537561580	2537570880	Isolate		4892	8	0.9869	No	Linear				T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.1	100.0
IMGPR_plasmid_3300012420_000001	PTU_00000280	3300012420	Ga0118463_10174	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	5093	4	0.9869	No	Linear			virb4					No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	95.76	100.0
IMGPR_plasmid_2537561581_000001	PTU_00000280	2537561581	2537570941	Isolate		4896	8	0.9867	No	Linear				T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.1	100.0
IMGPR_plasmid_3300012278_000006	PTU_00000280	3300012278	Ga0118226_100054	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	16559	19	0.9866	No	Linear			virb4	T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.34	100.0
IMGPR_plasmid_3300012337_000008	PTU_00000280	3300012337	Ga0118302_100089	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	6796	11	0.9866	No	Linear				T_virB11				No			NC_021086.1	98.73	100.0
IMGPR_plasmid_2537561597_000001	PTU_00000280	2537561597	2537573699	Isolate		4892	8	0.9866	No	Linear				T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	97.59	100.0
IMGPR_plasmid_2537561598_000001	PTU_00037799	2537561598	2537573746	Isolate		4899	8	0.9866	No	Linear				T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.98	100.0
IMGPR_plasmid_7000000204_000005	PTU_00000280	7000000204	SRS024598_LANL_scaffold_278	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	5081	8	0.9866	No	Linear				FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	NC_021086.1	96.42	98.68
IMGPR_plasmid_3300012254_000003	PTU_00000280	3300012254	Ga0118512_100033	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	16760	18	0.9864	No	Linear			virb4	T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.43	100.0
IMGPR_plasmid_3300012542_000001	PTU_00000280	3300012542	Ga0118276_100242	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	4674	7	0.9864	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	NC_021086.1	99.59	100.0
IMGPR_plasmid_2531839320_000001	PTU_00000280	2531839320	2531887178	Isolate		4903	8	0.9864	No	Linear				T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.53	100.0
IMGPR_plasmid_3300012556_000003	PTU_00000280	3300012556	Ga0118121_100031	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	13384	14	0.9863	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.85	100.0
IMGPR_plasmid_3300012537_000001	PTU_00037799	3300012537	Ga0118072_10183	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	5539	8	0.9863	No	Linear				T_virB11				No			NC_021086.1	92.56	100.0
IMGPR_plasmid_7000000157_000001	PTU_00000280	7000000157	SRS020263_Baylor_scaffold_782	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	8316	9	0.9861	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	NC_021086.1	92.57	99.95
IMGPR_plasmid_3300012606_000002	PTU_00000280	3300012606	Ga0118220_100187	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	5088	6	0.9861	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.67	100.0
IMGPR_plasmid_3300006676_000005	PTU_00006047	3300006676	Ga0100046_100422	Metagenome	Host-associated;Mammals: Human;Respiratory system;Nasal cavity;Anterior nares	6422	8	0.9861	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.88	100.0
IMGPR_plasmid_3300013189_000002	PTU_00018706	3300013189	Ga0118500_100592	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	5687	3	0.9861	No	Linear			virb4	FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.91	100.0
IMGPR_plasmid_7000000198_000001	PTU_00000280	7000000198	SRS024482_LANL_scaffold_3198	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	6820	8	0.9860	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia	NC_021086.1	98.24	100.0
IMGPR_plasmid_3300013663_000001	PTU_00000280	3300013663	Ga0118313_100033	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	22613	25	0.9858	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	96.36	100.0
IMGPR_plasmid_3300031963_000023	PTU_00000280	3300031963	Ga0315901_10016590	Metagenome	Environmental;Aquatic;Freshwater;Lake	7956	11	0.9857	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.49	100.0
IMGPR_plasmid_3300013145_000001	PTU_00016038	3300013145	Ga0118496_100049	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	14181	17	0.9856	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	89.8	98.29
IMGPR_plasmid_2537561822_000001	PTU_00000280	2537561822	2537598773	Isolate		5336	5	0.9856	No	Linear		tcpA		FA_orf14				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.24	100.0
IMGPR_plasmid_2537561817_000001	PTU_00000280	2537561817	2537598515	Isolate		29267	38	0.9855	No	Linear		tcpA	virb4	FA_orf14;T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NZ_CP012356.1	98.09	97.59
IMGPR_plasmid_2537561822_000002	PTU_00000280	2537561822	2537598772	Isolate		15010	20	0.9855	No	Linear			virb4	T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.44	100.0
IMGPR_plasmid_3300012581_000008	PTU_00000280	3300012581	Ga0118309_100030	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	17287	18	0.9850	No	Linear			virb4	T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.32	99.98
IMGPR_plasmid_3300013607_000001	PTU_00000280	3300013607	Ga0118314_10024	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	7516	11	0.9848	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia	NC_021086.1	98.25	99.91
IMGPR_plasmid_2537561594_000002	PTU_00000280	2537561594	2537573643	Isolate		6510	8	0.9848	No	Linear				T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	95.27	98.65
IMGPR_plasmid_2869088689_000001	PTU_00000825	2869088689	2869088692	Isolate		79198	97	0.9847	No	Linear		tcpA	virb4	FA_orf14;T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium humerusii	NZ_CP017041.1	99.73	96.15
IMGPR_plasmid_3300012310_000002	PTU_00000280	3300012310	Ga0118510_100301	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	4855	8	0.9847	No	Linear				T_virB11				No			NC_021086.1	98.12	99.94
IMGPR_plasmid_3300006999_000001	PTU_00000280	3300006999	Ga0102676_100421	Metagenome	Environmental;Aquatic;Marine	4162	6	0.9847	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	97.85	100.0
IMGPR_plasmid_3300013330_000003	PTU_00000280	3300013330	Ga0118298_100016	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	26957	29	0.9846	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	97.42	95.29
IMGPR_plasmid_3300012634_000004	PTU_00000280	3300012634	Ga0118182_100369	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	4705	6	0.9846	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	90.92	85.99
IMGPR_plasmid_3300013405_000001	PTU_00018706	3300013405	Ga0117965_10106	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	5972	3	0.9846	No	Linear			virb4	FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	96.39	100.0
IMGPR_plasmid_3300032031_000170	PTU_00288506	3300032031	Ga0326364_1184807	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	9493	8	0.9845	No	Linear			virb4					No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	96.88	80.39
IMGPR_plasmid_2537561815_000001	PTU_00000280	2537561815	2537598463	Isolate		4903	8	0.9844	No	Linear				T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.2	100.0
IMGPR_plasmid_3300012541_000001	PTU_00000280	3300012541	Ga0118533_100023	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	26354	29	0.9843	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	95.3	98.92
IMGPR_plasmid_2537561580_000002	PTU_00020681	2537561580	2537570878	Isolate		4029	6	0.9843	No	Linear								No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.55	100.0
IMGPR_plasmid_2516143011_000001	PTU_00000280	2516143011	2516143867	Isolate		27894	32	0.9842	No	Linear		tcpA	virb4	FA_orf14;T_virB11				No	Isolate taxonomy	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NZ_CP012356.1	98.33	99.66
IMGPR_plasmid_3300012622_000002	PTU_00000280	3300012622	Ga0118097_100114	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	12021	13	0.9842	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.83	100.0
IMGPR_plasmid_3300008617_000013	PTU_00073852	3300008617	Ga0115612_100302	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	18230	18	0.9842	No	Linear		tcpA	virb4	FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	NC_021086.1	97.02	70.86
IMGPR_plasmid_3300012434_000001	PTU_00000280	3300012434	Ga0118316_100026	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	7269	11	0.9841	No	Linear				T_virB11				No			NC_021086.1	98.3	99.88
IMGPR_plasmid_3300013421_000002	PTU_00000280	3300013421	Ga0117985_10111	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	5355	6	0.9841	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.78	100.0
IMGPR_plasmid_7000000328_000001	PTU_00000280	7000000328	SRS046688_WUGC_scaffold_99	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin;Retroauricular crease	7937	9	0.9840	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	88.8	100.0
IMGPR_plasmid_3300011537_000003	PTU_00000280	3300011537	Ga0118460_100020	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	23223	25	0.9839	No	Linear			virb4	T_virB11;FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	97.56	100.0
IMGPR_plasmid_3300012455_000001	PTU_00000280	3300012455	Ga0118506_100058	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	12452	16	0.9839	No	Linear				T_virB11				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	99.81	100.0
IMGPR_plasmid_3300012552_000003	PTU_00020681	3300012552	Ga0118084_100207	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	4396	6	0.9839	No	Linear								No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	84.18	92.97
IMGPR_plasmid_3300013158_000003	PTU_00000280	3300013158	Ga0118511_100110	Metagenome	Host-associated;Mammals: Human;Integumentary system;Skin	7281	7	0.9839	No	Linear			virb4					No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	NC_021086.1	98.96	99.86
IMGPR_plasmid_3300009758_000001	PTU_00000280	3300009758	Ga0105211_1000093	Metagenome	Environmental;Aquatic;Marine;Oceanic	8240	11	0.9839	No	Linear		tcpA		FA_orf14				No	CRISPR spacer match	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	NC_021086.1	97.9	100.0
