UVIG	Taxon_oid	Scaffold_oid	Coordinates ('whole' if the UViG is the entire contig)	Ecosystem classification	vOTU	Length	Topology	geNomad score	Confidence	Estimated completeness	Estimated contamination	MIUViG quality	Gene content (total genes;cds;tRNA;geNomad marker)	Taxonomic classification	Taxonomic classification method	Host taxonomy prediction	Host prediction method	Sequence origin (doi)
IMGVR_UViG_3300007780_000001	3300007780	Ga0105678_100068	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01423855	29663	Direct terminal repeat	0.9794	High-confidence	100	0	High-quality	46;46;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300013161_000004	3300013161	Ga0118354_100005	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02665137	29722	Linear	0.9794	High-confidence	100	0	High-quality	44;44;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2706795698_000001	2706795698	2706857887	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673625	29605	Linear	0.9794	High-confidence	100	0	Reference	42;42;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300012600_000004	3300012600	Ga0118165_100005	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02667666	30198	Linear	0.9793	High-confidence	100	0	High-quality	44;44;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007054_000002	3300007054	Ga0103287_100117	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_01622424	29717	Direct terminal repeat	0.9792	High-confidence	100	0	High-quality	44;44;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007868_000001	3300007868	Ga0111019_100018	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01768093	29687	Linear	0.9792	High-confidence	100	0	High-quality	42;42;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300026736_000001	3300026736	Ga0208187_100001	whole	Environmental;Aquatic;Deep subsurface;Shale gas reservoir	vOTU_02253949	29495	Linear	0.9792	High-confidence	100	0	High-quality	43;43;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007920_000001	3300007920	Ga0111560_100014	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01769847	29556	Linear	0.9791	High-confidence	100	0	High-quality	43;43;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_7000000314_000001	7000000314	SRS014682_WUGC_scaffold_1767	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01423855	29821	Direct terminal repeat	0.979	High-confidence	100	0	High-quality	41;41;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2706795529_000001	2706795529	2706857680	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08496709	29751	Linear	0.979	High-confidence	100	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300006438_000001	3300006438	Ga0100178_100002	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01423855	29594	Linear	0.9789	High-confidence	100	0	High-quality	44;44;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007942_000001	3300007942	Ga0114264_100044	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01649325	29460	Direct terminal repeat	0.9789	High-confidence	100	0	High-quality	45;45;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300013222_000001	3300013222	Ga0118252_100001	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02806726	29809	Linear	0.9789	High-confidence	100	0	High-quality	46;46;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2706796239_000001	2706796239	2706858492	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673502	29741	Linear	0.9789	High-confidence	100	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795537_000001	2706795537	2706857688	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673518	29806	Linear	0.9788	High-confidence	100	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300020612_000013	3300020612	Ga0213759_10000155	whole	Environmental;Terrestrial;Deep subsurface;Rock	vOTU_03826907	29523	Direct terminal repeat	0.9787	High-confidence	100	0	High-quality	45;45;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2595698360_000001	2595698360	2595727342	whole	;;;	vOTU_08673411	29467	Linear	0.9787	High-confidence	100	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2974638439_000001	2974638439	2974638439	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673407	29511	Linear	0.9787	High-confidence	100	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706796386_000001	2706796386	2706858657	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08674478	29517	Linear	0.9787	High-confidence	100	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus lauchelly	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706796388_000001	2706796388	2706858659	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08674480	29506	Linear	0.9787	High-confidence	100	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus ouroboros	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2537561598_000001	2537561598	2537573727	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_00222746	29244	Direct terminal repeat	0.9786	High-confidence	100	0	High-quality	42;42;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	Isolate taxonomy	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300008329_000001	3300008329	Ga0115315_10001	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01916426	29584	Linear	0.9786	High-confidence	100	0	High-quality	44;44;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300012553_000001	3300012553	Ga0118080_100017	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02665137	29827	Direct terminal repeat	0.9786	High-confidence	100	0	High-quality	44;44;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2595698931_000001	2595698931	2595727913	whole	;;;	vOTU_00856438	29574	Linear	0.9786	High-confidence	100	0	Reference	47;47;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2595698935_000001	2595698935	2595727917	whole	;;;	vOTU_08673404	29505	Linear	0.9786	High-confidence	100	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2595698365_000001	2595698365	2595727347	whole	;;;	vOTU_08673407	29511	Linear	0.9786	High-confidence	100	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus PHL151N00	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2974638388_000001	2974638388	2974638388	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673407	29511	Linear	0.9786	High-confidence	100	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706796387_000001	2706796387	2706858658	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08674479	29726	Linear	0.9786	High-confidence	100	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus mrAK	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300007911_000001	3300007911	Ga0111557_100001	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01769716	30953	Linear	0.9783	High-confidence	100	0	High-quality	49;49;0;42	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300045988_114788	3300045988	Ga0495776_120403	whole	Host-associated;Mammals: Human;Digestive system;Large intestine	vOTU_07977038	29801	Linear	0.9783	High-confidence	100	0	High-quality	45;45;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2706795520_000001	2706795520	2706857671	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673506	29503	Linear	0.9783	High-confidence	100	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795521_000001	2706795521	2706857672	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673507	29496	Linear	0.9783	High-confidence	100	0	Reference	43;43;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2974638236_000001	2974638236	2974638236	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08495607	29491	Linear	0.9783	High-confidence	100	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795532_000001	2706795532	2706857683	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_02659079	29494	Linear	0.9783	High-confidence	100	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	;;;;;;		RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706796395_000001	2706796395	2706858666	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08674484	29463	Linear	0.9783	High-confidence	100	0	Reference	44;44;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus wizzo	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2595698928_000001	2595698928	2595727910	whole	;;;	vOTU_08673405	29516	Linear	0.9782	High-confidence	100	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795526_000001	2706795526	2706857677	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08495607	29491	Linear	0.9782	High-confidence	100	0	Reference	47;47;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus PHL082M03	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300008381_000002	3300008381	Ga0114858_100024	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01768740	29923	Linear	0.9781	High-confidence	100	0	High-quality	45;45;0;42	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_7000000566_000001	7000000566	SRS047225_LANL_scaffold_951	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01649325	29395	Direct terminal repeat	0.9781	High-confidence	100	0	High-quality	43;43;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007247_000002	3300007247	Ga0104831_10002	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01649326	29609	Linear	0.978	High-confidence	100	0	High-quality	45;45;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300020611_000013	3300020611	Ga0213741_10000217	whole	Environmental;Terrestrial;Deep subsurface;Rock	vOTU_03826907	29503	Linear	0.9779	High-confidence	100	0	High-quality	44;44;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
